Nom,Solde Initial,PnL Net,Profit/Loss,Win Rate,Total Trade,Total Win,Solde Final,HIDE Win Rate,HIDE PnL,HIDE Résultat,HIDE Solde Final,Date,HIDE Total Trade,Journal Backtest
Janvier,"1 000,00 $US",,🟡Breakeven,0,,,1000,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,"Sans titre (https://www.notion.so/49d0990d02974c63948da791392b3bab?pvs=21), Sans titre (https://www.notion.so/b70359d366f74323a9a6375790a12303?pvs=21)"
Février,"1 040,00 $US",,🟢 Profit,0,,,1040,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,Sans titre (https://www.notion.so/a6de5d90672d44ddad966be7bb9efc70?pvs=21)
Mars,,,🟢 Profit,0,,,0,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,
Avril,"1 040,00 $US",,⚫ Pas de trades,0,,,1040,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,"Sans titre (https://www.notion.so/59efb2339ba644a0ab33e6ebe7248796?pvs=21), Sans titre (https://www.notion.so/c0a2ff14d9664ab7a979e9432776d047?pvs=21), Sans titre (https://www.notion.so/0b0abe5fefdb4de6a9461e4e2c91405f?pvs=21), Sans titre (https://www.notion.so/b7fc1b91b60f48d888b162d3309d2d9c?pvs=21), Sans titre (https://www.notion.so/8dff25ec858e4dddb9d7a4e2133d5715?pvs=21), Sans titre (https://www.notion.so/0282b457f1264d509f842cb8db03dde4?pvs=21)"
Mai,,,⚫ Pas de trades,0,,,0,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,"Sans titre (https://www.notion.so/0af78750e66a4ebeb4ac0c5a222a638f?pvs=21), Sans titre (https://www.notion.so/a8347f17b7144e7ea73e3fde79c1bf06?pvs=21)"
Juin,,,⚫ Pas de trades,0,,,0,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,
Juillet,,,⚫ Pas de trades,0,,,0,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,
Août,,,⚫ Pas de trades,0,,,0,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,
Septembre,,,⚫ Pas de trades,0,,,0,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,
Octobre,,,⚫ Pas de trades,0,,,0,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,
Novembre,,,⚫ Pas de trades,0,,,0,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,
Décembre,,,⚫ Pas de trades,0,,,0,Win Rate :,PnL :,Résultat :,Solde Final :,,Total Trade :,